Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
4825,Fairly Used 5 Bedroom Semi Detached Duplex On 800m2 Land With 2 Rooms Bq,Oduduwa Way Ikeja Gra Ikeja Lagos,₦,"200,000,000",0,0,0,5 beds,5 baths,5 Toilets,GRA
4826,Executive Detach Duplex,Thomas Okoya Estate Adeniyi Jones Ikeja Lagos,₦,"65,000,000",0,0,1,4 beds,4 baths,4 Toilets,Adeniyi Jones
4827,Commercial Property Facing Lagos/abeokuta Express,Facing Lagos/abeokuta Express Mangoro Ikeja Lagos,₦,"130,000,000",0,0,0, beds, baths, Toilets,Other Ikeja
4828,C Of O,Opebi Opebi Ikeja Lagos,₦,"55,000,000",0,1,0,3 beds,3 baths,4 Toilets,Opebi
4829,Beautiful 3 And 4 Bedroom Semi Detached Houses With Additional One Bedroom Bq Each, Ikeja Lagos,₦,"55,000,000",0,0,0,3 beds,0 baths,0 Toilets,Other Ikeja
4830,750 Sqm Warehouse, Oregun Ikeja Lagos,₦,"450,000,000",0,0,0,0 beds,0 baths,0 Toilets,Oregun
4831,Event Centre,"Off Oregun Road, Ikeja Oregun Ikeja Lagos",₦,"650,000,000",0,0,0, beds, baths, Toilets,Oregun
4832,4 Bedroom House,"Ogundoyinbo Street, Ogba Agidingbi Ikeja Lagos",₦,"55,000,000",0,0,0,4 beds,3 baths,3 Toilets,Agidingbi
4833,4 Unit Of 3 Bedroom,Ajao Estate Airport Road(ikeja) Ikeja Lagos,₦,"48,000,000",0,0,0,3 beds,3 baths,4 Toilets,Airport Road
4834,Comtemporary Designed 5 Bedroom Semi Detached House,Gra Ikeja Lagos,₦,"150,000,000",0,0,0,5 beds,5 baths,6 Toilets,GRA
